[dotenv@17.2.3] injecting env (11) from .env -- tip: =ƒöÉ prevent committing .env to code: https://dotenvx.com/precommit
User: Peter (f0b9225a-fa3a-44b7-bf9f-32ab1399b74e)
All requests for Peter: 49
- ID: ddc2e117-c812-4e33-9021-65bca55e14e1, Status: CANCELED, Start: 2026-02-16T00:00:00.000Z, End: 2026-02-16T00:00:00.000Z, Type: Holiday
- ID: cf7d8ae6-48b3-4ae1-912b-59fb134043af, Status: NEW, Start: 2026-03-05T00:00:00.000Z, End: 2026-03-05T00:00:00.000Z, Type: Holiday
- ID: 75d4c308-9d8f-4553-8e11-a8e9ab9715b2, Status: NEW, Start: 2026-03-11T00:00:00.000Z, End: 2026-03-11T00:00:00.000Z, Type: Holiday
- ID: cafd59c8-c028-44ae-8482-249a8f4f2897, Status: CANCELED, Start: 2026-03-06T00:00:00.000Z, End: 2026-03-06T00:00:00.000Z, Type: Holiday
- ID: ca37bbbf-f13e-4e57-b734-afda384ebb04, Status: CANCELED, Start: 2026-03-12T00:00:00.000Z, End: 2026-03-12T00:00:00.000Z, Type: Holiday
- ID: 56eb3f60-6555-478d-9cd3-e63608091084, Status: NEW, Start: 2026-03-13T00:00:00.000Z, End: 2026-03-13T00:00:00.000Z, Type: Holiday
- ID: bf2e3775-643c-4554-9b72-2bc4d2ff38fb, Status: CANCELED, Start: 2026-03-04T00:00:00.000Z, End: 2026-03-04T00:00:00.000Z, Type: Holiday
- ID: d5b8aaca-2ff5-46dc-b25c-6ac16a59a6f3, Status: NEW, Start: 2026-03-16T00:00:00.000Z, End: 2026-03-16T00:00:00.000Z, Type: Holiday
- ID: dc5eda0d-99c3-4263-9421-1838cc2d0b6a, Status: NEW, Start: 2026-03-17T00:00:00.000Z, End: 2026-03-17T00:00:00.000Z, Type: Holiday
- ID: 3a733270-9539-4d0a-b01d-a6a41cc048b0, Status: NEW, Start: 2026-03-18T00:00:00.000Z, End: 2026-03-18T00:00:00.000Z, Type: Holiday
- ID: 1bc0c159-eb9e-45d3-ac7f-be43ac545cf3, Status: CANCELED, Start: 2026-03-12T00:00:00.000Z, End: 2026-03-12T00:00:00.000Z, Type: Holiday
- ID: 4f012ed3-9720-410e-aff3-c4bf19cfea2d, Status: APPROVED, Start: 2026-03-19T00:00:00.000Z, End: 2026-03-19T00:00:00.000Z, Type: Holiday
- ID: 753cb26d-6c3e-468e-87f7-f3ed3e299a15, Status: NEW, Start: 2026-03-20T00:00:00.000Z, End: 2026-03-20T00:00:00.000Z, Type: Holiday
- ID: d771775a-7136-4c3f-bd2d-edeeee5937c2, Status: NEW, Start: 2026-03-20T00:00:00.000Z, End: 2026-03-20T00:00:00.000Z, Type: Holiday
- ID: 75cf0744-2aff-4c9e-9dde-4af4982b2f82, Status: NEW, Start: 2026-03-23T00:00:00.000Z, End: 2026-03-23T00:00:00.000Z, Type: Holiday
- ID: fa00c3a4-6310-4fb1-82a6-ca03c77d1157, Status: NEW, Start: 2026-03-23T00:00:00.000Z, End: 2026-03-23T00:00:00.000Z, Type: Holiday
- ID: 243452bb-cc16-40ac-b553-027e59aacfc3, Status: NEW, Start: 2026-03-24T00:00:00.000Z, End: 2026-03-24T00:00:00.000Z, Type: Holiday
- ID: 6690fb24-de44-4377-adbe-f70262a06253, Status: NEW, Start: 2026-03-24T00:00:00.000Z, End: 2026-03-24T00:00:00.000Z, Type: Holiday
- ID: fdef4181-ff56-4fd5-a95b-1078e23e6b9a, Status: NEW, Start: 2026-03-25T00:00:00.000Z, End: 2026-03-25T00:00:00.000Z, Type: Holiday
- ID: 82e61ca4-d483-4cb2-b43b-d0d9efb09d5b, Status: NEW, Start: 2026-03-25T00:00:00.000Z, End: 2026-03-25T00:00:00.000Z, Type: Holiday
- ID: 6d8ce7df-f1f7-48f5-be05-83dec985c751, Status: NEW, Start: 2026-03-26T00:00:00.000Z, End: 2026-03-26T00:00:00.000Z, Type: Holiday
- ID: 8f9d5821-b477-4457-9622-ba3438413c1e, Status: NEW, Start: 2026-03-26T00:00:00.000Z, End: 2026-03-26T00:00:00.000Z, Type: Holiday
- ID: e7d54ea2-779a-4b8c-ae44-d331e8b334bd, Status: APPROVED, Start: 2026-03-27T00:00:00.000Z, End: 2026-03-27T00:00:00.000Z, Type: Holiday
- ID: f1fb08df-5637-4e78-a55b-d76d7859d889, Status: NEW, Start: 2026-03-27T00:00:00.000Z, End: 2026-03-27T00:00:00.000Z, Type: Holiday
- ID: 0b0c1fac-2df5-4501-af1a-5819e495e888, Status: NEW, Start: 2026-03-30T00:00:00.000Z, End: 2026-03-30T00:00:00.000Z, Type: Holiday
